Country name,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Russia,1989,147341500,2226352,11907913,34043396,53804990,99034230,2390363,9681561,11492476,10643007,10083656,22088876,24658732,15653587,18062738,13227574,6858245,2448512,209973,6223
Russia,1990,148005700,2043746,11542173,34012520,53776536,99255570,2213184,9498427,11724391,10745957,10235835,21341228,24984132,15784656,18133156,14037498,6690701,2559415,220438,6119
Russia,1991,148455410,1873746,11004034,33842868,53724644,99309850,2043222,9130288,11978675,10860160,10371905,20653748,25282288,16087405,18126636,14673951,6508525,2671279,230904,5896
Russia,1992,148725600,1696687,10245982,33506476,53645252,99230160,1872263,8549295,12223508,11036985,10480586,20166296,25380678,16845382,17799996,15090556,6398022,2810949,241177,5485
Russia,1993,148897280,1592081,9447794,33059660,53568772,99138410,1687472,7855713,12253162,11358705,10611334,19873086,25341268,18141808,17081020,15177158,6416320,2937572,253396,4654
Russia,1994,148829120,1564173,8778145,32552966,53430350,99008936,1573149,7213972,12055143,11719678,10761563,19748080,25061110,19659004,16331417,14896155,6546930,3006361,261876,3650
Russia,1995,148557460,1535372,8226031,31956060,53156324,98927200,1535674,6690659,11733204,11996825,10897647,19827124,24542804,21086398,15577864,14621147,6781345,2998474,265503,3090
Russia,1996,148233400,1490178,7785467,31252436,52754520,99026776,1506402,6295289,11197275,12269694,11038036,20027154,23979904,22026808,15052203,14481369,7214537,2887165,270894,2909
Russia,1997,147939970,1439164,7457281,30396458,52222610,99382740,1457476,6018117,10425770,12513407,11246669,20319542,23331880,22603440,14706352,14525390,7794100,2733002,280301,2834
Russia,1998,147672720,1408032,7221238,29320122,51633044,100113530,1402825,5813206,9581784,12517100,11606076,20681802,22616100,23140538,14320745,14684302,8374541,2634687,290979,2827
Russia,1999,147336380,1371701,7003890,28120810,50984800,101065490,1372328,5632189,8817669,12299251,12005570,21049798,21917944,23510440,14159011,14817542,8880228,2573066,299052,2930
Russia,2000,146844850,1334745,6773451,26902608,50204490,101808400,1336355,5438706,8158143,11971013,12296950,21386314,21245958,23802084,14260159,14841191,9330746,2468267,307371,3194
Russia,2001,146235520,1319781,6585042,25609660,49346296,102354240,1299148,5265261,7590147,11434471,12565656,21707330,20656204,24097232,14512856,14767823,9633408,2370045,311857,3454
Russia,2002,145590140,1341374,6487943,24260800,48469190,102735390,1286780,5146569,7112399,10660458,12797870,22051900,20248640,24219256,15179427,14436713,9761818,2316367,313631,3716
Russia,2003,144946720,1418138,6568738,23190422,47661760,102713960,1329019,5150600,6831510,9790174,12730595,22485500,19930944,24186616,16306566,13768060,9684058,2341448,318524,3987
Russia,2004,144353650,1474877,6794855,22475536,46912850,102390300,1418776,5319978,6685721,8994960,12426117,22868736,19740560,23890776,17648016,13093060,9425478,2454713,326486,4165
Russia,2005,143800050,1468934,7000264,21869956,46075468,102092050,1467132,5531330,6560019,8309673,12077881,23101778,19766956,23368384,18936966,12469590,9254161,2622832,327283,4264
Russia,2006,143338670,1459556,7160291,21409362,45244616,101890610,1465398,5700735,6519206,7729865,11595324,23340616,19917318,22804780,19797784,12083074,9222611,2851759,311667,4375
Russia,2007,143117680,1533276,7346221,21210406,44546304,101971800,1458653,5812945,6582049,7282136,10910547,23681814,20165112,22172328,20326318,11870581,9364951,3122839,288193,4598
Russia,2008,143086540,1650224,7567243,21283736,43864904,102371380,1528112,5917019,6721726,6994767,10112238,24002516,20481542,21492380,20800810,11632380,9597984,3396614,281553,4793
Russia,2009,143163650,1716380,7812184,21511802,43227670,102838824,1641717,6095804,6898397,6801221,9318374,24217406,20818094,20832420,21132046,11593694,9806927,3643237,284741,4906
Russia,2010,143242600,1694050,7997391,21716420,42599412,103204090,1685822,6303341,7065413,6653617,8612616,24268580,21142410,20208146,21424150,11785681,9948257,3852516,278591,5226
Russia,2011,143364540,1722423,8222170,22021316,41914836,103140400,1668136,6499747,7200706,6598440,7975199,24132906,21432606,19673740,21730416,12101482,10009806,4000371,281094,5601
Russia,2012,143629360,1841208,8541163,22548048,41257904,102653930,1720826,6699955,7364947,6641938,7423343,23782700,21710592,19320184,21867882,12728263,9863205,4082171,296922,6053
Russia,2013,143956860,1891148,8802639,23139784,40693336,102086216,1839747,6911491,7567566,6769580,7079427,23068844,22101570,19103064,21902522,13707155,9446475,4074709,326633,6686
Russia,2014,144285070,1898564,9023688,23749472,40242036,101360810,1890093,7125124,7788074,6937711,6863046,22162788,22516606,19030436,21746498,14854053,8992786,3992219,369881,7290
Russia,2015,144668380,1923246,9283175,24378110,39925930,100592940,1899539,7359929,7993923,7101012,6716995,21240816,22889596,19139632,21396672,15934808,8570112,3969867,424170,7604
Russia,2016,145109150,1912331,9481504,24975276,39805140,99960650,1925970,7569173,8257200,7236571,6679797,20234060,23329462,19361686,20991228,16648191,8346436,4044077,491453,7491
Russia,2017,145452540,1787339,9434150,25416536,39790704,99358600,1915105,7646811,8580464,7401921,6739680,19117752,23828160,19654286,20494524,17103934,8289915,4236319,564173,7261
Russia,2018,145652290,1646296,9193676,25644420,39840624,98829510,1790225,7547380,8846678,7604065,6877094,18026568,24259204,19994900,19941164,17539934,8236815,4485800,638491,7899
Russia,2019,145742290,1545896,8842882,25739304,39914220,98277176,1649341,7296986,9073493,7822930,7049208,17031200,24551360,20353018,19397480,17885004,8320116,4701567,705107,8915
Russia,2020,145617330,1462500,8383252,25745824,39943720,97583220,1549234,6920752,9335539,8027034,7211409,16113312,24659044,20691940,18863912,18196218,8514863,4849036,762069,9704
Russia,2021,145102750,1418044,7890302,25711640,39993556,96764640,1465954,6472258,9532623,8288714,7342447,15375599,24553230,20966060,18362988,18450818,8719036,4829658,780686,10597
